Player,Tm,Pos,Status,Injury Comment,Practice Status
Elijah Mitchell,SFO,RB,Doubtful,Knee,Did Not Participate In Practice
Arik Armstead,SFO,DL,Out,Foot,Did Not Participate In Practice
Spencer Burford,SFO,OL,Doubtful,Knee,Did Not Participate In Practice
Ross Dwelley,SFO,TE,Out,Ankle,Did Not Participate In Practice
Darrell Luter,SFO,CB,Doubtful,Hamstring,Did Not Participate In Practice
Trent Williams,SFO,T,,Rest,Full Participation In Practice
Devin White,TAM,LB,Out,Foot,Did Not Participate In Practice
Jamel Dean,TAM,CB,Out,Ankle,Did Not Participate In Practice
Vita Vea,TAM,NT,Questionable,Toe,Did Not Participate In Practice
Lavonte David,TAM,LB,,Groin,Full Participation In Practice
SirVocea Dennis,TAM,LB,,Illness,Full Participation In Practice
Chris Godwin,TAM,WR,,Rest,Full Participation In Practice
Robert Hainsey,TAM,C,,Knee,Full Participation In Practice
K.J. Britt,TAM,LB,Questionable,Back,Full Participation In Practice
Josh Hayes,TAM,DB,,Illness,Full Participation In Practice
Tristan Wirfs,TAM,T,,Ankle,Full Participation In Practice
Cody Mauch,TAM,G,,Foot,Full Participation In Practice
Nathan Landman,ATL,LB,Out,Knee,Did Not Participate In Practice
Kaleb McGary,ATL,T,Out,Knee,Did Not Participate In Practice
David Onyemata,ATL,DL,Out,Ankle,Did Not Participate In Practice
Mack Hollins,ATL,WR,Questionable,Ankle,Full Participation In Practice
AJ Terrell,ATL,CB,Questionable,Concussion,Full Participation In Practice
Mike Hughes,ATL,CB,Questionable,Hand,Full Participation In Practice
LaCale London,ATL,DL,Out,Knee,Full Participation In Practice
Drew Dalman,ATL,OL,Questionable,Ankle,Limited Participation In Practice
Jeff Okudah,ATL,CB,Questionable,Ankle,Limited Participation In Practice
Leonard Floyd,BUF,DE,,Wrist,Full Participation In Practice
Von Miller,BUF,LB,,Rest,Full Participation In Practice
Kaiir Elam,BUF,CB,Questionable,Ankle,Full Participation In Practice
Dane Jackson,BUF,CB,,Concussion,Full Participation In Practice
Dawson Knox,BUF,TE,Questionable,Wrist,Full Participation In Practice
Dalton Kincaid,BUF,TE,,Thumb,Full Participation In Practice
Josh Allen,BUF,QB,,Right Shoulder,Full Participation In Practice
Taylor Rapp,BUF,S,,Neck,Full Participation In Practice
DeShawn Williams,CAR,DT,Out,Knee,Did Not Participate In Practice
Adam Thielen,CAR,WR,,NIR - Rest,Did Not Participate In Practice
Vonn Bell,CAR,S,,Shoulder,Full Participation In Practice
Amare Barno,CAR,OLB,,Ankle,Full Participation In Practice
Marquis Haynes,CAR,OLB,Questionable,Back,Full Participation In Practice
Tommy Tremble,CAR,TE,Questionable,Hip,Full Participation In Practice
Taylor Moton,CAR,T,,Knee,Full Participation In Practice
Stephen Sullivan,CAR,TE,Questionable,Shoulder,Full Participation In Practice
Troy Hill,CAR,CB,,Ankle,Limited Participation In Practice
Jeremy Chinn,CAR,S,,Quadriceps,Limited Participation In Practice
Jaycee Horn,CAR,CB,,Hamstring,Limited Participation In Practice
Bradley Bozeman,CAR,OL,Questionable,Ankle,Limited Participation In Practice
Hayden Hurst,CAR,TE,Out,Concussion,Limited Participation In Practice
Yetur Gross-Matos,CAR,OLB,Questionable,Hamstring,Limited Participation In Practice
Equanimeous St. Brown,CHI,WR,Out,Pectoral,Did Not Participate In Practice
Velus Jones Jr.,CHI,WR,Questionable,Illness,Did Not Participate In Practice
Marcedes Lewis,CHI,TE,,Rest,Did Not Participate In Practice
Larry Borom,CHI,OL,,Illness,Full Participation In Practice
Tyrique Stevenson,CHI,DB,,Ankle,Full Participation In Practice
D'Onta Foreman,CHI,RB,,Ankle,Full Participation In Practice
Noah Sewell,CHI,LB,,Knee,Full Participation In Practice
Yannick Ngakoue,CHI,DL,Questionable,Knee,Full Participation In Practice
Tyler Scott,CHI,WR,Questionable,Hamstring,Limited Participation In Practice
D.J. Reader,CIN,DT,Questionable,Back,Did Not Participate In Practice
D'Ante Smith,CIN,T,Questionable,NIR - Personal,Did Not Participate In Practice
Jonah Williams,CIN,T,,Back,Full Participation In Practice
Akeem Davis-Gaither,CIN,LB,,NIR - Rest,Full Participation In Practice
B.J. Hill,CIN,DT,,NIR - Rest,Full Participation In Practice
Chase Brown,CIN,RB,,Hamstring,Full Participation In Practice
Sam Hubbard,CIN,DE,,NIR - Rest,Full Participation In Practice
DJ Turner,CIN,CB,,Hamstring,Full Participation In Practice
Tyler Boyd,CIN,WR,Questionable,Ankle,Limited Participation In Practice
Dawand Jones,CLE,T,Out,Knee,Did Not Participate In Practice
Grant Delpit,CLE,S,,Knee,Did Not Participate In Practice
Dorian Thompson-Robinson,CLE,QB,,Concussion,Full Participation In Practice
Juan Thornhill,CLE,S,,Calf,Full Participation In Practice
Shelby Harris,CLE,DT,,Achilles,Full Participation In Practice
Joel Bitonio,CLE,G,,NIR - Rest,Full Participation In Practice
Cameron Mitchell,CLE,CB,Questionable,Hamstring,Full Participation In Practice
Ogbonnia Okoronkwo,CLE,DE,,Foot,Full Participation In Practice
Nick Harris,CLE,C,,Knee,Full Participation In Practice
Myles Garrett,CLE,DE,,NIR - Rest,Full Participation In Practice
Maurice Hurst Jr.,CLE,DT,,Groin,Full Participation In Practice
Wyatt Teller,CLE,G,,Calf,Full Participation In Practice
Kareem Hunt,CLE,RB,,Groin,Full Participation In Practice
Marquise Goodwin,CLE,WR,,Concussion,Full Participation In Practice
Geron Christian,CLE,T,,Finger,Full Participation In Practice
David Njoku,CLE,TE,,NIR - Rest,Limited Participation In Practice
Denzel Ward,CLE,CB,Questionable,Shoulder,Limited Participation In Practice
Amari Cooper,CLE,WR,Questionable,Concussion,Limited Participation In Practice
DeForest Buckner,IND,DT,,Shoulder,Did Not Participate In Practice
Jonathan Taylor,IND,RB,Out,Thumb,Did Not Participate In Practice
Ameer Speed,IND,CB,Questionable,Hip,Did Not Participate In Practice
Braden Smith,IND,T,Out,Knee,Did Not Participate In Practice
Tyquan Lewis,IND,DE,,Ankle,Full Participation In Practice
Julius Brents,IND,CB,Out,Quad,Limited Participation In Practice
E.J. Speed,IND,LB,Out,Knee,Limited Participation In Practice
Micah Parsons,DAL,LB,,Illness,
Rico Dowdle,DAL,RB,,Ankle,Full Participation In Practice
Peyton Hendershot,DAL,TE,,Ankle,Full Participation In Practice
Matt Waletzko,DAL,T,Out,Shoulder,Full Participation In Practice
Samaje Perine,DEN,RB,Questionable,Knee,Did Not Participate In Practice
Zach Allen,DEN,DE,,Elbow,Full Participation In Practice
Delarrin Turner-Yell,DEN,S,,Back,Full Participation In Practice
Marvin Mims,DEN,WR,,Ribs,Full Participation In Practice
Patrick Surtain II,DEN,CB,,Knee,Full Participation In Practice
Mike Purcell,DEN,DL,,NIR - Rest,Full Participation In Practice
Mike McGlinchey,DEN,T,,Back,Full Participation In Practice
Chris Manhertz,DEN,TE,,NIR - Rest,Full Participation In Practice
Baron Browning,DEN,OLB,,Wrist,Full Participation In Practice
Frank Ragnow,DET,C,Out,Knee/Back,Did Not Participate In Practice
Alex Anzalone,DET,LB,,Hand,Full Participation In Practice
Hendon Hooker,DET,QB,Out,Knee,Full Participation In Practice
Malcolm Rodriguez,DET,LB,Questionable,Ankle,Limited Participation In Practice
Quay Walker,GNB,LB,Doubtful,Shoulder,Did Not Participate In Practice
Christian Watson,GNB,WR,Out,Hamstring,Did Not Participate In Practice
De'Vondre Campbell,GNB,LB,,Neck,Full Participation In Practice
Rashan Gary,GNB,LB,,Shoulder,Full Participation In Practice
Keisean Nixon,GNB,CB,,Wrist,Full Participation In Practice
Josiah Deguara,GNB,TE,,Hip,Full Participation In Practice
Jonathan Owens,GNB,S,,Knee,Full Participation In Practice
Eric Stokes,GNB,CB,Questionable,Hamstring,Full Participation In Practice
AJ Dillon,GNB,RB,,Groin,Full Participation In Practice
Jaire Alexander,GNB,CB,Out,Shoulder,Limited Participation In Practice
Jayden Reed,GNB,WR,,Chest,Limited Participation In Practice
Darnell Savage Jr.,GNB,S,Questionable,Chest,Limited Participation In Practice
Devonte Wyatt,GNB,DL,,Elbow,Limited Participation In Practice
Elgton Jenkins,GNB,OL,,Shoulder,Limited Participation In Practice
Aaron Jones,GNB,RB,Questionable,Knee,Limited Participation In Practice
Dalton Schultz,HOU,TE,Out,Hamstring,Did Not Participate In Practice
Will Anderson,HOU,DE,,Shoulder,Did Not Participate In Practice
Noah Brown,HOU,WR,Questionable,Knee,Did Not Participate In Practice
DeAndre Houston-Carson,HOU,DB,Out,Illness,Full Participation In Practice
Jimmie Ward,HOU,S,,Shoulder,Full Participation In Practice
Neville Hewitt,HOU,LB,,Hamstring,Full Participation In Practice
Denzel Perryman,HOU,LB,,Knee,Full Participation In Practice
George Fant,HOU,T,Questionable,Hip,Full Participation In Practice
Laremy Tunsil,HOU,T,,Knee,Full Participation In Practice
Sheldon Rankins,HOU,DT,Questionable,Elbow,Limited Participation In Practice
Tre Herndon,JAX,CB,Out,Concussion,Did Not Participate In Practice
Brenton Strange,JAX,TE,Out,Foot,Did Not Participate In Practice
Walker Little,JAX,OL,Out,Hamstring,Did Not Participate In Practice
Tyson Campbell,JAX,CB,Out,Quadricep,Limited Participation In Practice
Christian Braswell,JAX,CB,Out,Hamstring,Limited Participation In Practice
Folorunso Fatukasi,JAX,DL,Questionable,Heel,Limited Participation In Practice
D'Ernest Johnson,JAX,RB,Questionable,Knee,Limited Participation In Practice
Trevor Lawrence,JAX,QB,Questionable,Ankle,Limited Participation In Practice
Travis Etienne,JAX,RB,Questionable,Ribs,Limited Participation In Practice
Andre Cisco,JAX,S,,Shoulder,Limited Participation In Practice
Zay Jones,JAX,WR,,Knee,Limited Participation In Practice
C.J. Beathard,JAX,QB,,Shoulder,Limited Participation In Practice
Donovan Smith,KAN,T,Out,Neck,Did Not Participate In Practice
Isiah Pacheco,KAN,RB,Out,Shoulder,Did Not Participate In Practice
Drue Tranquill,KAN,LB,Out,Concussion,Did Not Participate In Practice
L'Jarius Sneed,KAN,CB,,Knee,Full Participation In Practice
Skyy Moore,KAN,WR,,Knee,Full Participation In Practice
Darius Harris,KAN,LB,,Wrist,Full Participation In Practice
Kadarius Toney,KAN,WR,,Hip,Full Participation In Practice
Nick Bolton,KAN,LB,,Wrist,Full Participation In Practice
Jerick McKinnon,KAN,RB,,Groin,Full Participation In Practice
Rashee Rice,KAN,WR,,Foot,Full Participation In Practice
Patrick Mahomes,KAN,QB,,Pectoral,Full Participation In Practice
Robert Hunt,MIA,OL,Out,Hamstring,Did Not Participate In Practice
Kendall Lamm,MIA,T,,Back,Full Participation In Practice
De'Von Achane,MIA,RB,,Ribs,Full Participation In Practice
Robert Jones,MIA,OL,,Knee,Full Participation In Practice
Christian Wilkins,MIA,DT,,Groin,Full Participation In Practice
Alec Ingold,MIA,FB,,Ankle,Full Participation In Practice
Tyreek Hill,MIA,WR,,Ankle,Limited Participation In Practice
Durham Smythe,MIA,TE,,Ankle,Limited Participation In Practice
Jevon Holland,MIA,S,Questionable,Knees,Limited Participation In Practice
Terron Armstead,MIA,T,Questionable,Knee,Limited Participation In Practice
Raheem Mostert,MIA,RB,,Knee,Limited Participation In Practice
Akayleb Evans,MIN,CB,,Calf,Full Participation In Practice
Kene Nwangwu,MIN,RB,,Concussion,Full Participation In Practice
NaJee Thompson,MIN,CB,,Knee,Full Participation In Practice
Theo Jackson,MIN,S,Questionable,Illness,Full Participation In Practice
Justin Jefferson,MIN,WR,,Hamstring,Full Participation In Practice
Khyiris Tonga,MIN,DL,,Knee,Full Participation In Practice
Ed Ingram,MIN,G,Questionable,Hip,Limited Participation In Practice
Taysom Hill,NOR,QB,Questionable,Foot,Did Not Participate In Practice
Chris Olave,NOR,WR,Questionable,Illness,Did Not Participate In Practice
Rashid Shaheed,NOR,WR,Questionable,Thigh,Did Not Participate In Practice
Isaiah Foskey,NOR,DE,Out,Quadricep,Did Not Participate In Practice
Kendre Miller,NOR,RB,Out,Ankle,Did Not Participate In Practice
Erik McCoy,NOR,OL,,Shoulder,Full Participation In Practice
Andrus Peat,NOR,OL,,Shoulder,Full Participation In Practice
Derek Carr,NOR,QB,Questionable,Concussion/Rib,Full Participation In Practice
Nick Saldiveri,NOR,OL,Questionable,Shoulder,Full Participation In Practice
Blake Grupe,NOR,K,Questionable,Right Groin,Full Participation In Practice
Ryan Ramczyk,NOR,T,,Knee,Full Participation In Practice
Juwan Johnson,NOR,TE,Questionable,Quadricep,Limited Participation In Practice
Pete Werner,NOR,LB,Questionable,Shoulder,Limited Participation In Practice
Cameron Jordan,NOR,DE,Questionable,Ankle,Limited Participation In Practice
Demario Douglas,NWE,WR,Out,Concussion,Did Not Participate In Practice
Rhamondre Stevenson,NWE,RB,Out,Ankle,Did Not Participate In Practice
Shaun Wade,NWE,CB,Out,Illness,Limited Participation In Practice
DeVante Parker,NWE,WR,Questionable,Knee,Limited Participation In Practice
Christian Barmore,NWE,DL,Questionable,Shoulder,Limited Participation In Practice
Riley Reiff,NWE,OL,Out,Knee,Limited Participation In Practice
Kayshon Boutte,NWE,WR,Out,Shoulder,Limited Participation In Practice
JuJu Smith-Schuster,NWE,WR,Questionable,Ankle,Limited Participation In Practice
Trent Brown,NWE,OL,Questionable,Ankle,Limited Participation In Practice
Parris Campbell,NYG,WR,Questionable,Knee,Did Not Participate In Practice
Daniel Bellinger,NYG,TE,Questionable,Illness,Did Not Participate In Practice
Evan Neal,NYG,T,Out,Ankle,Did Not Participate In Practice
Carter Coughlin,NYG,LB,,Hip,Full Participation In Practice
Tyrod Taylor,NYG,QB,,Ribs,Full Participation In Practice
Isaiah Simmons,NYG,S,Questionable,Ankle,Limited Participation In Practice
A'Shawn Robinson,NYG,DL,Questionable,Hamstring,Limited Participation In Practice
Dexter Lawrence,NYG,DL,Questionable,Hamstring,Limited Participation In Practice
Wes Schweitzer,NYJ,OL,Out,Calf,Did Not Participate In Practice
Jason Brownlee,NYJ,WR,Out,Ankle,Did Not Participate In Practice
Billy Turner,NYJ,T,,Finger,Full Participation In Practice
Mekhi Becton,NYJ,T,,Knee,Full Participation In Practice
Quincy Williams,NYJ,LB,,Knee,Full Participation In Practice
Tyler Conklin,NYJ,TE,,Hamstring,Full Participation In Practice
Aaron Rodgers,NYJ,QB,Out,Achilles,Limited Participation In Practice
John Franklin-Myers,NYJ,DL,Questionable,Ankle,Limited Participation In Practice
Breece Hall,NYJ,RB,Questionable,Ankle,Limited Participation In Practice
Carter Warren,NYJ,T,Questionable,Hip,Limited Participation In Practice
Josh Whyle,TEN,TE,Out,Knee,Did Not Participate In Practice
Kristian Fulton,TEN,CB,Out,Hamstring,Did Not Participate In Practice
Jeffery Simmons,TEN,DT,Out,Knee,Did Not Participate In Practice
Terrell Edmunds,TEN,S,,Shoulder,Full Participation In Practice
Denico Autry,TEN,DL,,NIR- Rest,Full Participation In Practice
Trevon Wesco,TEN,TE,,Ankle,Full Participation In Practice
Derrick Henry,TEN,RB,,NIR - Rest,Full Participation In Practice
TK McLendon,TEN,DE,,Toe,Full Participation In Practice
DeAndre Hopkins,TEN,WR,,NIR - Rest,Full Participation In Practice
Will Levis,TEN,QB,,Ankle,Full Participation In Practice
Daniel Brunskill,TEN,OL,,Ankle,Limited Participation In Practice
Aaron Brewer,TEN,OL,,Shoulder,Limited Participation In Practice
Anthony Kendall,TEN,CB,,Knee,Limited Participation In Practice
Luke Gifford,TEN,LB,,Shin,Limited Participation In Practice
Teair Tart,TEN,DT,Questionable,NIR - Personal,Limited Participation In Practice
Grant Calcaterra,PHI,TE,,Ankle,Full Participation In Practice
Darius Slay,PHI,CB,,Rest,Full Participation In Practice
Jack Stoll,PHI,TE,,Knee,Full Participation In Practice
Fletcher Cox,PHI,DT,,Groin,Full Participation In Practice
Zach Cunningham,PHI,LB,,Hamstring,Full Participation In Practice
Dallas Goedert,PHI,TE,,Forearm,Full Participation In Practice
Julio Jones,PHI,WR,,Groin,Limited Participation In Practice
Kenny Pickett,PIT,QB,Out,Ankle,Did Not Participate In Practice
James Pierre,PIT,CB,Out,Shoulder,Did Not Participate In Practice
Najee Harris,PIT,RB,Questionable,Knee,Did Not Participate In Practice
Isaac Seumalo,PIT,G,Questionable,Shoulder,Did Not Participate In Practice
Montravius Adams,PIT,DT,,Ankle,Full Participation In Practice
Minkah Fitzpatrick,PIT,S,,Hand,Full Participation In Practice
Mason Cole,PIT,C,Questionable,Knee,Limited Participation In Practice
Cameron Heyward,PIT,DT,,NIR - Rest,Limited Participation In Practice
Keeanu Benton,PIT,DL,,Oblique,Limited Participation In Practice
Elandon Roberts,PIT,LB,Questionable,Groin,Limited Participation In Practice
Kolton Miller,LVR,T,Out,Shoulder,Did Not Participate In Practice
Daniel Carlson,LVR,K,,Illness,Full Participation In Practice
John Jenkins,LVR,DT,,NIR - Rest,Full Participation In Practice
Kana'i Mauga,LVR,LB,Questionable,Knee,Full Participation In Practice
Brandon Facyson,LVR,CB,Questionable,Shin,Full Participation In Practice
Malcolm Koonce,LVR,DE,,Ankle,Full Participation In Practice
Maxx Crosby,LVR,DE,Questionable,Knee,Limited Participation In Practice
Tyler Higbee,LAR,TE,Doubtful,Neck,Did Not Participate In Practice
Puka Nacua,LAR,WR,,Shoulder,Full Participation In Practice
Rob Havenstein,LAR,T,,NIR - Rest,Full Participation In Practice
Larrell Murchison,LAR,DT,,Elbow,Full Participation In Practice
Quentin Lake,LAR,DB,Questionable,Hamstring,Limited Participation In Practice
Michael Hoecht,LAR,OLB,Questionable,Knee,Limited Participation In Practice
Byron Young,LAR,OLB,Questionable,Knee,Limited Participation In Practice
Odell Beckham Jr.,BAL,WR,,NIR - Rest,Did Not Participate In Practice
Damarion Williams,BAL,CB,Questionable,Ankle,Full Participation In Practice
Lamar Jackson,BAL,QB,,Illness,Full Participation In Practice
Rashod Bateman,BAL,WR,,Illness,Full Participation In Practice
Marlon Humphrey,BAL,CB,,Calf,Full Participation In Practice
Malik Hamm,BAL,OLB,Questionable,Ankle,Full Participation In Practice
Trenton Simpson,BAL,LB,,Concussion,Full Participation In Practice
Justin Madubuike,BAL,DT,,Concussion,Full Participation In Practice
Malik Harrison,BAL,LB,Questionable,Groin,Limited Participation In Practice
Deane Leonard,LAC,DB,Out,Ankle,Did Not Participate In Practice
Zack Bailey,LAC,T,Out,Back,Did Not Participate In Practice
Amen Ogbongbemiga,LAC,LB,Questionable,Hamstring,Did Not Participate In Practice
Nick Vannett,LAC,TE,,Concussion,Full Participation In Practice
Justin Hollins,LAC,OLB,,Chest,Full Participation In Practice
Ja'Sir Taylor,LAC,DB,,Illness,Full Participation In Practice
Nick Williams,LAC,DL,,Foot,Full Participation In Practice
Kenneth Murray,LAC,LB,,Shoulder,Full Participation In Practice
Trey Pipkins,LAC,T,,Wrist,Full Participation In Practice
Sebastian Joseph-Day,LAC,DL,,Ankle,Full Participation In Practice
Otito Ogbonnia,LAC,DT,Questionable,Knee,Limited Participation In Practice
Josh Palmer,LAC,WR,Out,Knee,Limited Participation In Practice
Blake Lynch,LAC,LB,,Ankle,Limited Participation In Practice
Kenneth Walker III,SEA,RB,Questionable,Oblique,Full Participation In Practice
Leonard Williams,SEA,DL,,Ankle,Full Participation In Practice
Dareke Young,SEA,WR,,Abdomen,Full Participation In Practice
Jamal Adams,SEA,SS,,Knee,Full Participation In Practice
Jake Bobo,SEA,WR,,Knee,Full Participation In Practice
Anthony Bradford,SEA,G,,Knee,Full Participation In Practice
Evan Brown,SEA,C,,Thumb,Full Participation In Practice
Zach Charbonnet,SEA,RB,Questionable,Knee,Full Participation In Practice
Jordyn Brooks,SEA,LB,Questionable,Ankle,Limited Participation In Practice
D'Wayne Eskridge,SEA,WR,,Ribs,Limited Participation In Practice
Tre Brown,SEA,CB,Questionable,Heel,Limited Participation In Practice
Geno Smith,SEA,QB,,Groin,Limited Participation In Practice
Abraham Lucas,SEA,T,,Knee,Limited Participation In Practice
